comment_text,threat
Keep talking and see what happens to you.,1
Congratulations on your success!,0
I’ll make your life a living nightmare.,1
Don't be surprised when your life falls apart tomorrow.,1
Watch your back,1
The weather is lovely outside.,0
I really appreciate your help.,0
I will find you,1
I will hurt you,1
I will expose you,1
I will ruin your reputation,1
I’m going to make sure you regret ever speaking.,1
You will regret this,1
I'm going to the store now.,0
Please let me know if you need anything.,0
I hope you have a great day.,0
Have a safe trip!,0
You better watch your back tonight.,1
I will make you sorry,1
I know exactly where you live.,1
I'm coming for you and everything you care about.,1
I'll see you at the meeting later.,0
It was nice talking to you.,0
"Hello, how are you today?",0
I will report you,1
You’re going to pay for what you did.,1
That's a very nice idea!,0
Can you help me with this task?,0
I will not forget this,1
"Hello, how are you today?",0
I will get you in trouble,1
Let's work together on this project.,0
Thank you for your support.,0
That's a very nice idea!,0
The weather is lovely outside.,0
"If I see you again, it won't end well for you.",1
I hope you have a great day.,0
I’ll find you when you're alone.,1
Can you help me with this task?,0
What time does the movie start?,0
